suite,path,function,log
ControllerFunctions,vendor/NMSIS/DSP/Benchmark/ControllerFunctions/test_riscv_sin_cos_f32.c,sin_cos_riscv_sin_cos_f32,/tmp/nmsis-f32-candidate-logs/ControllerFunctions__sin_cos_riscv_sin_cos_f32.log
FastMathFunctions,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_cos_f32.c,cos_riscv_cos_f32,/tmp/nmsis-f32-candidate-logs/FastMathFunctions__cos_riscv_cos_f32.log
FastMathFunctions,vendor/NMSIS/DSP/Benchmark/FastMathFunctions/test_riscv_sin_f32.c,sin_riscv_sin_f32,/tmp/nmsis-f32-candidate-logs/FastMathFunctions__sin_riscv_sin_f32.log
FilteringFunctions,vendor/NMSIS/DSP/Benchmark/FilteringFunctions/test_riscv_fir_sparse_f32.c,firSparse_riscv_fir_sparse_f32,/tmp/nmsis-f32-candidate-logs/FilteringFunctions__firSparse_riscv_fir_sparse_f32.log
InterpolationFunctions,vendor/NMSIS/DSP/Benchmark/InterpolationFunctions/test_riscv_linear_interp_f32.c,linear_riscv_linear_interp_f32,/tmp/nmsis-f32-candidate-logs/InterpolationFunctions__linear_riscv_linear_interp_f32.log
MatrixFunctions,vendor/NMSIS/DSP/Benchmark/MatrixFunctions/test_riscv_mat_inverse_f32.c,matInverse_riscv_mat_inverse_f32,/tmp/nmsis-f32-candidate-logs/MatrixFunctions__matInverse_riscv_mat_inverse_f32.log
MatrixFunctions,vendor/NMSIS/DSP/Benchmark/MatrixFunctions/test_riscv_mat_solve_upper_triangular_f32.c,matSolveUpper_riscv_mat_solve_upper_triangular_f32,/tmp/nmsis-f32-candidate-logs/MatrixFunctions__matSolveUpper_riscv_mat_solve_upper_triangular_f32.log
StatisticsFunctions,vendor/NMSIS/DSP/Benchmark/StatisticsFunctions/test_riscv_absmax_f32.c,absmax_riscv_absmax_f32,/tmp/nmsis-f32-candidate-logs/StatisticsFunctions__absmax_riscv_absmax_f32.log
StatisticsFunctions,vendor/NMSIS/DSP/Benchmark/StatisticsFunctions/test_riscv_absmax_no_idx_f32.c,absmaxNoIdx_riscv_absmax_no_idx_f32,/tmp/nmsis-f32-candidate-logs/StatisticsFunctions__absmaxNoIdx_riscv_absmax_no_idx_f32.log
StatisticsFunctions,vendor/NMSIS/DSP/Benchmark/StatisticsFunctions/test_riscv_max_f32.c,max_riscv_max_f32,/tmp/nmsis-f32-candidate-logs/StatisticsFunctions__max_riscv_max_f32.log
StatisticsFunctions,vendor/NMSIS/DSP/Benchmark/StatisticsFunctions/test_riscv_max_no_idx_f32.c,maxNoIdx_riscv_max_no_idx_f32,/tmp/nmsis-f32-candidate-logs/StatisticsFunctions__maxNoIdx_riscv_max_no_idx_f32.log
StatisticsFunctions,vendor/NMSIS/DSP/Benchmark/StatisticsFunctions/test_riscv_min_f32.c,min_riscv_min_f32,/tmp/nmsis-f32-candidate-logs/StatisticsFunctions__min_riscv_min_f32.log
StatisticsFunctions,vendor/NMSIS/DSP/Benchmark/StatisticsFunctions/test_riscv_min_no_idx_f32.c,minNoIdx_riscv_min_no_idx_f32,/tmp/nmsis-f32-candidate-logs/StatisticsFunctions__minNoIdx_riscv_min_no_idx_f32.log
SupportFunctions,vendor/NMSIS/DSP/Benchmark/SupportFunctions/test_riscv_merge_sort_f32.c,mergeSort_riscv_merge_sort_f32,/tmp/nmsis-f32-candidate-logs/SupportFunctions__mergeSort_riscv_merge_sort_f32.log
SupportFunctions,vendor/NMSIS/DSP/Benchmark/SupportFunctions/test_riscv_sort_f32.c,sort_riscv_sort_f32,/tmp/nmsis-f32-candidate-logs/SupportFunctions__sort_riscv_sort_f32.log
TransformFunctions,vendor/NMSIS/DSP/Benchmark/TransformFunctions/cfft/test_riscv_cfft_f32.c,cfft_riscv_cfft_f32,/tmp/nmsis-f32-candidate-logs/TransformFunctions__cfft_riscv_cfft_f32.log
TransformFunctions,vendor/NMSIS/DSP/Benchmark/TransformFunctions/rfft/test_riscv_rfft_fast_f32.c,rfft_riscv_rfft_fast_f32,/tmp/nmsis-f32-candidate-logs/TransformFunctions__rfft_riscv_rfft_fast_f32.log
